COG_main_desc,n,n_NUGA,n_noRBS,n_yesRBS,n_URRUG,k,k_NUGA,k_noRBS,k_yesRBS,k_URRUG,l2fc_NUGA,l2fc_noRBS,l2fc_yesRBS,l2fc_URRUG,p_NUGA,p_noRBS,p_yesRBS,p_URRUG,padj_NUGA,padj_noRBS,padj_yesRBS,padj_URRUG
Amino acid transport and metabolism,449,103,30,73,25,0.0699812967581048,0.106735751295337,0.0759493670886076,0.110105580693816,0.149700598802395,0.609002186741549,0.118068544257827,0.653846290481203,1.09703868901445,6.34572465704967e-05,0.25899177055705,6.59895122533928e-05,4.09237433289243e-05,0.00114223043826894,0.999152008644322,0.00118781122056107,0.000584417391866421
Carbohydrate transport and metabolism,421,81,24,57,12,0.0656172069825436,0.0839378238341969,0.0607594936708861,0.085972850678733,0.0718562874251497,0.355246874117706,-0.110964338954785,0.389806957440678,0.131040211635628,0.0485515737925691,0.599123159420904,0.0252670196568821,0.255146164052008,0.291309442755415,0.999152008644322,0.151602117941293,0.467111128975364
Cell wall/membrane/envelope biogenesis,216,47,16,31,8,0.0336658354114713,0.0487046632124352,0.0405063291139241,0.0467571644042232,0.0479041916167665,0.532774643813647,0.266862081226987,0.473902174565739,0.5088666318174,0.0267408409453452,0.207131954578384,0.0529646413975711,0.106083755081812,0.240667568508106,0.999152008644322,0.190672709031256,0.381901518294525
Coenzyme transport and metabolism,369,53,23,30,4,0.0575124688279302,0.0549222797927461,0.0582278481012658,0.0452488687782805,0.0239520958083832,-0.0664832571977193,0.0178345333870719,-0.345993044109545,-1.26372287207953,0.867589639914041,0.427883304420634,0.952875471578394,0.960644059798829,0.999999918248123,0.999152008644322,0.999983553637229,0.999862761919306
Defense mechanisms,109,15,4,11,4,0.0169887780548628,0.0155440414507772,0.010126582278481,0.0165912518853695,0.0239520958083832,-0.12822043486893,-0.746434741386471,-0.0341593397972965,0.495569809203942,0.807014616684768,0.840559221224981,0.585639804528334,0.158203931150475,0.999999918248123,0.999152008644322,0.999983553637229,0.3978770023589
Energy production and conversion,358,54,15,39,10,0.0557980049875312,0.0559585492227979,0.0379746835443038,0.0588235294117647,0.0598802395209581,0.00414501919868965,-0.555175598265283,0.0761798079403245,0.101866451603974,0.764851921022832,0.93943567722372,0.446140358167816,0.295006874364933,0.999999918248123,0.999152008644322,0.999983553637229,0.482738521688073
Function unknown,150,15,7,8,3,0.0233790523690773,0.0155440414507772,0.0177215189873418,0.0120663650075415,0.0179640718562874,-0.588854800587885,-0.399714185047822,-0.954225324153548,-0.380102055793857,0.991474797270383,0.753605306591969,0.990606286516134,0.554231787937026,0.999999918248123,0.999152008644322,0.999983553637229,0.767397860220498
General function prediction only,319,32,12,20,6,0.0497194513715711,0.033160621761658,0.030379746835443,0.0301659125188537,0.0359281437125749,-0.584339319465392,-0.710700529653258,-0.720891152535175,-0.468695979062845,0.999657859332243,0.966657166149069,0.997484417918756,0.709454222833985,0.999999918248123,0.999152008644322,0.999983553637229,0.851345067400782
Inorganic ion transport and metabolism,264,53,16,37,7,0.0411471321695761,0.0549222797927461,0.0405063291139241,0.0558069381598793,0.0419161676646707,0.416599629504223,-0.0226445359679983,0.439652612612829,0.0267149366800187,0.069144662116366,0.495586062470565,0.0492190740726808,0.365662239294984,0.311150979523647,0.999152008644322,0.190672709031256,0.548493358942476
Lipid transport and metabolism,595,85,20,65,18,0.0927369077306733,0.0880829015544041,0.0506329113924051,0.0980392156862745,0.107784431137725,-0.0742816277581267,-0.873068179917489,0.0802153211754812,0.216933277227875,0.868448889881577,0.998146920650025,0.314089258302293,0.135268155571635,0.999999918248123,0.999152008644322,0.942267774906879,0.3978770023589
Not in COG database,1670,235,154,174,25,0.260286783042394,0.243523316062176,0.389873417721519,0.262443438914027,0.149700598802395,-0.0960421464969372,0.582903736723942,0.0119044748296466,-0.798022063605822,0.225639351143032,3.87210176213908e-16,0.00743599063183227,0.972244805676252,0.812301664114914,6.96978317185035e-15,0.0669239156864904,0.999862761919306
Nucleotide transport and metabolism,116,19,6,13,5,0.0180798004987531,0.0196891191709845,0.0151898734177215,0.0196078431372549,0.029940119760479,0.123019812615491,-0.251268911015961,0.117052089355853,0.727701233740658,0.54973017978298,0.625851561033131,0.438962017861099,0.0837908088217827,0.999999918248123,0.999152008644322,0.999983553637229,0.377058639698022
"Posttranslational modification, protein turnover, chaperones",159,28,11,17,9,0.0247817955112219,0.0290155440414508,0.0278481012658228,0.0256410256410256,0.0538922155688623,0.227545261072726,0.168298246743397,0.0491732523083166,1.12079618013882,0.395253356913831,0.317164279488052,0.521143712559992,0.00836055434123587,0.999999918248123,0.999152008644322,0.999983553637229,0.0501633260474152
"Replication, recombination and repair",127,16,5,11,2,0.0197942643391521,0.016580310880829,0.0126582278481013,0.0165912518853695,0.0119760479041916,-0.255611392472688,-0.645007008494348,-0.254659701792536,-0.724930552791298,0.906382895519419,0.834705565363614,0.784427397546543,0.651972997252683,0.999999918248123,0.999152008644322,0.999983553637229,0.838250996467736
"Secondary metabolites biosynthesis, transport and catabolism",177,30,15,15,6,0.0275872817955112,0.0310880829015544,0.0379746835443038,0.0226244343891403,0.0359281437125749,0.172358339824999,0.461034628915976,-0.286121588132146,0.381111084619027,0.479498852373579,0.0979520424288627,0.851441177582306,0.176834223270622,0.999999918248123,0.881568381859765,0.999983553637229,0.3978770023589
Signal transduction mechanisms,165,20,6,14,5,0.025716957605985,0.0207253886010363,0.0151898734177215,0.0211161387631976,0.029940119760479,-0.311320825058976,-0.759610130134205,-0.284373925845879,0.219360014622414,0.954335575553266,0.910565869074053,0.84105977115921,0.259506182764091,0.999999918248123,0.999152008644322,0.999983553637229,0.467111128975364
Transcription,526,45,16,29,2,0.0819825436408978,0.0466321243523316,0.0405063291139241,0.0437405731523379,0.0119760479041916,-0.81399259866315,-1.01716940590185,-0.906344627822398,-2.77516485531143,0.999999918248123,0.999152008644322,0.999983553637229,0.999862761919306,0.999999918248123,0.999152008644322,0.999983553637229,0.999862761919306
"Translation, ribosomal structure and biogenesis",226,34,15,19,16,0.0352244389027431,0.0352331606217617,0.0379746835443038,0.028657616892911,0.0958083832335329,0.000357173134629335,0.108461216583786,-0.29765808262927,1.44357517156568,0.75757234631326,0.355691058421435,0.887800210531104,6.49352657629356e-05,0.999999918248123,0.999152008644322,0.999983553637229,0.000584417391866421
