COG_main_desc,n,n_NUGA,n_noRBS,n_yesRBS,n_URRUG,k,k_NUGA,k_noRBS,k_yesRBS,k_URRUG,l2fc_NUGA,l2fc_noRBS,l2fc_yesRBS,l2fc_URRUG,p_NUGA,p_noRBS,p_yesRBS,p_URRUG,padj_NUGA,padj_noRBS,padj_yesRBS,padj_URRUG
Amino acid transport and metabolism,180,32,8,24,12,0.0447538538040776,0.0649087221095335,0.0357142857142857,0.0892193308550186,0.109090909090909,0.536400433597766,-0.325510652081927,0.995344408140209,1.28544705717217,0.030546449903319,0.694459547893765,0.000430573946236957,0.000935261507427256,0.145095637040765,0.85824522159457,0.00818090497850218,0.014341607178128
"Cell cycle control, cell division, chromosome partitioning",42,12,4,8,1,0.0104425658876181,0.0243407707910751,0.0178571428571429,0.0297397769516729,0.00909090909090909,1.22089860786984,0.774025021468987,1.50991758096997,-0.199979769998068,0.00314438899837282,0.0950020268941225,0.00220195914659003,0.327059135885514,0.0597433909690836,0.361007702197666,0.0209186118926053,0.653788244522752
Cell wall/membrane/envelope biogenesis,153,29,10,19,3,0.0380407757334659,0.0588235294117647,0.0446428571428571,0.0706319702602231,0.0272727272727273,0.628846682362361,0.230882696442458,0.892774674499662,-0.480087689190804,0.0177924013731417,0.248473224726912,0.00365845893397192,0.600463502964345,0.126180146432479,0.586522365189594,0.0231702399151555,0.760587103754837
Coenzyme transport and metabolism,228,38,23,15,10,0.0566882148184983,0.077079107505071,0.102678571428571,0.0557620817843866,0.0909090909090909,0.443291029206284,0.857014386140019,-0.0237644148074955,0.681375733503313,0.04469107287794,0.00159466063705698,0.47591865382955,0.0382068857596284,0.169826076936172,0.0302985521040827,0.602830294850764,0.145186165886588
Defense mechanisms,142,22,12,10,1,0.0353058180009945,0.0446247464503043,0.0535714285714286,0.0371747211895911,0.00909090909090909,0.337938029060056,0.601557825464222,0.0744159791314081,-1.95740946672399,0.192470477138675,0.0582234573077277,0.391239653877352,0.904257936508477,0.52241986651926,0.361007702197666,0.602830294850764,0.954494488536726
Energy production and conversion,189,26,10,16,10,0.0469915464942815,0.0527383367139959,0.0446428571428571,0.0594795539033457,0.0909090909090909,0.16645082384746,-0.0739718850859624,0.339992579527655,0.952023323446982,0.367523296272034,0.49778729322378,0.14394719028261,0.0116886165496148,0.653131751464902,0.756285036100822,0.329749459742938,0.0555209286106702
Function unknown,166,13,7,6,4,0.0412729985082049,0.026369168356998,0.03125,0.0223048327137546,0.0363636363636364,-0.646346183278392,-0.401342065041573,-0.887841926877041,-0.182701778566232,0.98302010736852,0.731579603873523,0.946266979846073,0.466697197136113,0.996677835119094,0.85824522159457,0.9988373676153,0.682095903506626
General function prediction only,178,21,6,15,4,0.04425658876181,0.0425963488843813,0.0267857142857143,0.0557620817843866,0.0363636363636364,-0.0551624782601972,-0.724428485997494,0.333392168390848,-0.283395778185706,0.681543685181707,0.884387794179998,0.156197112509813,0.526517851671859,0.862340395906101,0.884387794179998,0.329749459742938,0.714559941554666
Inorganic ion transport and metabolism,128,22,6,16,3,0.0318249627051218,0.0446247464503043,0.0267857142857143,0.0594795539033457,0.0272727272727273,0.487685148564738,-0.248695055031096,0.902235003748728,-0.222699846498152,0.0870115437689946,0.602884988978609,0.00651492008503143,0.463218231385205,0.275536555268483,0.818201056470969,0.0309458704038993,0.682095903506626
Lipid transport and metabolism,289,36,12,24,8,0.0718547986076579,0.0730223123732252,0.0535714285714286,0.0892193308550186,0.0727272727272727,0.0232528488690739,-0.423620737531775,0.312271821969205,0.0174119702800136,0.551798264176264,0.813074420458014,0.101411831242189,0.344099076064606,0.806474386103771,0.85824522159457,0.313788232918575,0.653788244522752
