COG_main_desc,n,n_NUGA,n_noRBS,n_yesRBS,n_URRUG,k,k_NUGA,k_noRBS,k_yesRBS,k_URRUG,l2fc_NUGA,l2fc_noRBS,l2fc_yesRBS,l2fc_URRUG,p_NUGA,p_noRBS,p_yesRBS,p_URRUG,padj_NUGA,padj_noRBS,padj_yesRBS,padj_URRUG
Amino acid transport and metabolism,201,22,1,21,5,0.0787617554858934,0.156028368794326,0.0476190476190476,0.175,0.0943396226415094,0.986241188824444,-0.72595650019282,1.15178774975618,0.260368562910104,0.000326989768832973,0.464606772074452,6.68455878375855e-05,0.19817321027599,0.00457785676366162,0.501532226795799,0.000935838229726197,0.422668369931264
Carbohydrate transport and metabolism,295,18,3,15,8,0.115595611285266,0.127659574468085,0.142857142857143,0.125,0.150943396226415,0.143215118559184,0.305486547458062,0.112841469515666,0.384921014952466,0.190227730458759,0.169220662380325,0.219831334086935,0.0998721142747218,0.443864704403771,0.37747046013235,0.615527735443417,0.349552399961526
"Cell cycle control, cell division, chromosome partitioning",53,2,1,1,1,0.0207680250783699,0.0141843971631206,0.0476190476190476,0.00833333333333333,0.0188679245283019,-0.550059193197123,1.19717473642291,-1.31739843640685,-0.138428295361529,0.593309807157521,0.0676246798472065,0.735548173277329,0.301905978522331,0.873014275981827,0.37747046013235,0.864000553246182,0.422668369931264
Cell wall/membrane/envelope biogenesis,125,4,1,3,2,0.0489811912225705,0.0283687943262411,0.0476190476190476,0.025,0.0377358490566038,-0.787923023296011,-0.040689093675978,-0.97029976578458,-0.376292125460417,0.836993058684961,0.259680825899906,0.849655698119378,0.467061791600696,0.873014275981827,0.37747046013235,0.864000553246182,0.594442280219067
Coenzyme transport and metabolism,145,17,2,15,1,0.0568181818181818,0.120567375886525,0.0952380952380952,0.125,0.0188679245283019,1.08541501260148,0.745186100971175,1.13750352374994,-1.59041693081326,0.00075442496440134,0.101471683892482,0.000855006809401405,0.79793043292361,0.00528097475080938,0.37747046013235,0.00598504766580983,0.79793043292361
Function unknown,138,5,1,4,1,0.0540752351097179,0.0354609929078014,0.0476190476190476,0.0333333333333333,0.0188679245283019,-0.608735100524731,-0.18342926579206,-0.698002438621818,-1.5190322975765,0.788229585057288,0.296583932961132,0.784220527084545,0.775648497074633,0.873014275981827,0.37747046013235,0.864000553246182,0.79793043292361
General function prediction only,132,5,1,4,3,0.0517241379310345,0.0354609929078014,0.0476190476190476,0.0333333333333333,0.0566037735849057,-0.544604763105015,-0.119298928372344,-0.633872101202103,0.130060540564373,0.752934767377701,0.279591456344043,0.751792183276613,0.273995828516158,0.873014275981827,0.37747046013235,0.864000553246182,0.422668369931264
Inorganic ion transport and metabolism,108,6,1,5,4,0.0423197492163009,0.0425531914893617,0.0476190476190476,0.0416666666666667,0.0754716981132076,0.00793625992376331,0.170207688822641,-0.0224373891197554,0.834604657038202,0.401071714559399,0.211293079380469,0.402592651317449,0.0659063583938796,0.802143429118797,0.37747046013235,0.805185302634898,0.349552399961526
Not in COG database,678,25,4,21,10,0.265673981191223,0.177304964539007,0.19047619047619,0.175,0.188679245283019,-0.583424011995543,-0.480046272150235,-0.602302022201233,-0.493721209047311,0.873014275981827,0.465708496310385,0.85399798169386,0.596434133140229,0.873014275981827,0.501532226795799,0.864000553246182,0.695839821996934
Nucleotide transport and metabolism,85,8,1,7,2,0.033307210031348,0.0567375886524823,0.0476190476190476,0.0583333333333333,0.0377358490566038,0.768470325228374,0.515704254848407,0.808486004076253,0.180101223063968,0.0475605227177707,0.147326055992012,0.0468795615920807,0.252278958345435,0.221949106016263,0.37747046013235,0.21877128742971,0.422668369931264
"Secondary metabolites biosynthesis, transport and catabolism",38,3,1,2,2,0.0148902821316614,0.0212765957446809,0.0476190476190476,0.0166666666666667,0.0377358490566038,0.514896248643646,1.67716767754252,0.162594504712765,1.34156464575808,0.172057946943718,0.037494910861958,0.280224628290782,0.0434293118294308,0.443864704403771,0.37747046013235,0.653857466011824,0.349552399961526
Signal transduction mechanisms,122,9,1,8,4,0.0478056426332288,0.0638297872340426,0.0476190476190476,0.0666666666666667,0.0754716981132076,0.417048925245502,-0.00564214657677719,0.479784680593465,0.658754821638784,0.13754273243605,0.251132280720675,0.11593290553998,0.0975307564740101,0.443864704403771,0.37747046013235,0.405765169389929,0.349552399961526
Transcription,219,9,1,8,5,0.0858150470219436,0.0638297872340426,0.0476190476190476,0.0666666666666667,0.0943396226415094,-0.427000796792785,-0.849691868615065,-0.364265041444823,0.136633194487859,0.752350280580039,0.507635434045869,0.671880344704091,0.251779912254856,0.873014275981827,0.507635434045869,0.864000553246182,0.422668369931264
"Translation, ribosomal structure and biogenesis",213,8,2,6,5,0.0834639498432602,0.0567375886524823,0.0952380952380952,0.05,0.0943396226415094,-0.556848358859763,0.190385570760271,-0.739225101348331,0.176710633863194,0.823812750905049,0.219843633881441,0.864000553246182,0.233494883681605,0.873014275981827,0.37747046013235,0.864000553246182,0.422668369931264
