COG_main_desc,n,n_NUGA,n_noRBS,n_yesRBS,n_URRUG,k,k_NUGA,k_noRBS,k_yesRBS,k_URRUG,l2fc_NUGA,l2fc_noRBS,l2fc_yesRBS,l2fc_URRUG,p_NUGA,p_noRBS,p_yesRBS,p_URRUG,padj_NUGA,padj_noRBS,padj_yesRBS,padj_URRUG
Amino acid transport and metabolism,482,48,8,40,10,0.086597197269134,0.101052631578947,0.0740740740740741,0.108991825613079,0.0763358778625954,0.222714654604492,-0.225351645061823,0.331827699145795,-0.181959049548442,0.104590123628064,0.518074119380378,0.0385904310574109,0.504676369143927,0.261475309070161,0.797037106739043,0.154361724229644,0.777541130162883
Carbohydrate transport and metabolism,225,18,1,17,9,0.0404240028745958,0.0378947368421053,0.00925925925925926,0.0463215258855586,0.0687022900763359,-0.0932146996614274,-2.1262435000489,0.196470590521697,0.765146002019433,0.639466433530395,0.932329620742078,0.261330787603875,0.0349762675852983,0.998416009203235,0.932329620742078,0.580735083564167,0.215412115401473
Cell motility,97,14,2,12,4,0.0174272367948257,0.0294736842105263,0.0185185185185185,0.0326975476839237,0.0305343511450382,0.758083569983774,0.0876248489810111,0.907838599022423,0.809089349607029,0.0293028557989505,0.29182425242684,0.0156211330782384,0.0792474051084735,0.117211423195802,0.58364850485368,0.078105665391192,0.264158017028245
Cell wall/membrane/envelope biogenesis,289,32,7,25,15,0.0519223859144808,0.0673684210526316,0.0648148148148148,0.0681198910081744,0.114503816793893,0.375715807612618,0.319966930725064,0.391719447762441,1.140967104902,0.071937691314277,0.17522267735513,0.0719225445861576,0.000836974171407409,0.205536260897934,0.459767372887128,0.205492984531879,0.0167394834281482
Coenzyme transport and metabolism,250,36,10,26,4,0.0449155587495508,0.0757894736842105,0.0925925925925926,0.0708446866485014,0.0305343511450382,0.754782206893523,1.04368150139341,0.6574443739674,-0.55678209286793,0.00119903177014282,0.00730651092644927,0.00924161787408802,0.69031798148138,0.0119903177014282,0.0730651092644927,0.0616107858272534,0.867665801117424
Defense mechanisms,113,17,6,11,3,0.020301832554797,0.0357894736842105,0.0555555555555556,0.0299727520435967,0.0229007633587786,0.817925368948449,1.45232122947411,0.562041596710504,0.173785730100126,0.0131312935223997,0.00606340919874617,0.0885593736835923,0.277191373771301,0.0875419568159981,0.0730651092644927,0.221398434208981,0.615980830602891
Energy production and conversion,299,25,7,18,11,0.0537190082644628,0.0526315789473684,0.0648148148148148,0.0490463215258856,0.083969465648855,-0.0295039943100833,0.270890939027638,-0.131287732267398,0.644432136233349,0.560899344558947,0.197630814444563,0.62552330615833,0.0397255328577055,0.998416009203235,0.459767372887128,0.994502922725187,0.215412115401473
Function unknown,218,17,2,15,3,0.0391663672296083,0.0357894736842105,0.0185185185185185,0.0408719346049046,0.0229007633587786,-0.13007999341329,-1.08064663360879,0.0614952113199869,-0.774219632261613,0.677920717761452,0.791249584782453,0.406753387841998,0.750989533656143,0.998416009203235,0.832894299771004,0.813506775683996,0.867665801117424
General function prediction only,290,23,5,18,7,0.052102048149479,0.048421052631579,0.0462962962962963,0.0490463215258856,0.0534351145038168,-0.105705643844625,-0.170443303959433,-0.0871951480842274,0.0364480238368268,0.664742876841753,0.464951072028537,0.573252728529427,0.345009800963982,0.998416009203235,0.774918453380895,0.994502922725187,0.627976519533799
Inorganic ion transport and metabolism,303,34,7,27,11,0.0544376572044556,0.071578947368421,0.0648148148148148,0.0735694822888284,0.083969465648855,0.394930347890686,0.251718629752792,0.434502459178912,0.625259826958503,0.0553451359422648,0.206895317799208,0.0468598464622444,0.0430824230802946,0.184483786474216,0.459767372887128,0.156199488207481,0.215412115401473
"Intracellular trafficking, secretion, and vesicular transport",126,28,5,23,3,0.0226374416097736,0.0589473684210526,0.0462962962962963,0.0626702997275204,0.0229007633587786,1.38071648867098,1.03218586255558,1.46907097304549,0.0166847690153969,1.79177599055526e-06,0.0345961488375019,3.6308592467411e-06,0.345387085743589,3.58355198111052e-05,0.230640992250013,7.2617184934822e-05,0.627976519533799
Lipid transport and metabolism,292,17,7,10,6,0.0524613726194754,0.0357894736842105,0.0648148148148148,0.0272479564032698,0.0458015267175573,-0.551720227516381,0.305068054345726,-0.94510752350426,-0.195859866364704,0.965534715515552,0.181827342610774,0.989893311552072,0.505401734605874,0.998416009203235,0.459767372887128,0.994502922725187,0.777541130162883
Not in COG database,1031,65,16,49,18,0.185231764283148,0.136842105263158,0.148148148148148,0.133514986376022,0.137404580152672,-0.436819314226357,-0.32229092619997,-0.472329832764506,-0.430901424131639,0.970108308614554,0.558138579796671,0.950827754868227,0.711459100001791,0.998416009203235,0.797340828280958,0.994502922725187,0.867665801117424
